"","title","company","location","rating","province","pay","job"
"653","Business Analyst","Thumbtack","remote",NA,"remote",NA,"Data Analyst"
"654","newOperations Support Analyst - Crude Oil","Shell","Calgary, AB",3.9,"AB",NA,"Data Analyst"
"655","Intermediate Business Analyst, Data and Analytics","Home Trust Company","Toronto, ON",3.6,"ON",NA,"Data Analyst"
"656","Data & Analytics - Senior Data Analyst","Aritzia","Vancouver, BC",3.4,"BC",NA,"Data Analyst"
"657","Pricing Analyst","The Travelers Companies, Inc.","Toronto, ON",3.7,"ON",NA,"Data Analyst"
"658","Sync Operator/Data Analyst","Util-Assist Inc.","remote",2.5,"remote",NA,"Data Analyst"
"659","Junior Pricing Analyst","Marks Supply Inc","Kitchener, ON",2.8,"ON",NA,"Data Analyst"
"660","Business Systems Analyst","CM2 Solutions Inc.","Oshawa, ON",NA,"ON",NA,"Data Analyst"
"661","QC Analyst 1 - Afternoon shift","Bimeda","Canada",3,"DA",NA,"Data Analyst"
"662","Senior Analyst","Nissan","Mississauga, ON",3.8,"ON",NA,"Data Analyst"
"663","Senior Market Research Analyst","SAIT","Calgary, AB",4,"AB",75411,"Data Analyst"
"664","newBusiness System Analyst","CAPCO","Toronto, ON",3.4,"ON",NA,"Data Analyst"
"665","Market Intelligence Analyst","The Canadian Institute","Toronto, ON",3,"ON",50000,"Data Analyst"
"666","Senior Analyst, Implementation","Ontario Health","Ontario",4.3,"IO",NA,"Data Analyst"
"667","Real Estate Data Analyst","RMSI Inc","Toronto, ON",NA,"ON",NA,"Data Analyst"
"668","BI Analyst","SCI Group","Etobicoke, ON",3.6,"ON",NA,"Data Analyst"
"669","Data Analyst (Power BI) - REMOTE","Software International","remote",NA,"remote",NA,"Data Analyst"
"670","CE Data Quality Analyst","Scarborough Health Network","Toronto, ON",4,"ON",NA,"Data Analyst"
"671","newIT Support and Application Support Analyst","Flexis","Toronto, ON",NA,"ON",NA,"Data Analyst"
"672","Marketing Analyst","Scribendi","remote",NA,"remote",NA,"Data Analyst"
"673","Data Quality Analyst (Call Center)","Johnson Controls","Concord, ON",3.7,"ON",NA,"Data Analyst"
"674","Quality Assurance Analyst - Data","CPQi","Toronto, ON",NA,"ON",NA,"Data Analyst"
"675","Senior Data Analyst","Unity Technologies","remote",NA,"remote",NA,"Data Analyst"
"676","Business Intelligence Analyst / Analyste en informatique déc...","Labour Market Information Council","remote",NA,"remote",72000,"Data Analyst"
"677","Supply and Logistics Analyst","Soucy Group","Drummondville, QC",3.7,"QC",NA,"Data Analyst"
"678","Analyst/Project Coordinator","Napoleon Products","Barrie, ON",NA,"ON",58500,"Data Analyst"
"679","Analyst, BSC Logistics Materials","Labatt Breweries Canada","Toronto, ON",3.1,"ON",NA,"Data Analyst"
"680","Data Quality and Management Analyst, Data Warehousing & Engi...","Questrade Financial Group","remote",3.5,"remote",NA,"Data Analyst"
"681","Systems Performance Analyst","Canadian Solar","Guelph, ON",3.5,"ON",NA,"Data Analyst"
"682","newIT Business Analyst","Right to Play","Toronto, ON",4.1,"ON",75500,"Data Analyst"
"683","Data Visualization Analyst - Senior","Insurance Corporation of British Columbia","remote",3.4,"remote",84638.5,"Data Analyst"
"684","Business System Analyst","Purple Drive Technologies","Toronto, ON",NA,"ON",101750,"Data Analyst"
"685","Ecommerce Business Analyst, Growth Strategy","Noticed LLC","remote",NA,"remote",105000,"Data Analyst"
"686","newBusiness Growth Analyst","Corix","remote",3.3,"remote",NA,"Data Analyst"
"687","Analyst, Pricing","Westjet Airlines","remote",3.9,"remote",NA,"Data Analyst"
"688","newData Analyst","QHR Technologies Inc","Vancouver, BC+3 locations",3.6,"NS",NA,"Data Analyst"
"689","Analyst I, Identity and Access Management","Moneris Solutions","remote",3.4,"remote",NA,"Data Analyst"
"690","Investment Banking Analyst","Raymond James Financial","Vancouver, BC",3.8,"BC",NA,"Data Analyst"
"691","Data Analytics Consultant (Tableau)","Calligo","Oakville, ON",NA,"ON",NA,"Data Analyst"
"692","Analyst, Engineering V&V","General Dynamics Missions Systems-Canada","Ottawa, ON",3.8,"ON",NA,"Data Analyst"
"693","Senior Data Analyst","Wave","Toronto, ON",3.3,"ON",NA,"Data Analyst"
"694","newSenior Data Integration Infrastructure Analyst","Sun Life Financial","remote",3.9,"remote",NA,"Data Analyst"
"695","Business Analyst","WBM TECHNOLOGIES INC.","Vancouver, BC+1 location",3.3,"ON",NA,"Data Analyst"
"696","newPricing Analyst","Inland Truck & Equipment","Burnaby, BC+1 location",NA,"ON",NA,"Data Analyst"
"697","newPortfolio Planning Analyst","Oracle","Canada",3.8,"DA",NA,"Data Analyst"
"698","Data Analyst","ContactPoint 360","Mississauga, ON",4.2,"ON",NA,"Data Analyst"
"699","Data Centre Analyst","University of New Brunswick","Fredericton, NB",4.2,"NB",55802.5,"Data Analyst"
"700","newHotshot Traffic / Supply Chain analyst Fresh Food","Stealth Global Fresh Food Player","Toronto, ON",NA,"ON",59000,"Data Analyst"
"701","Master Data Analyst","FMC Corporation","Calgary, AB",4,"AB",NA,"Data Analyst"
"702","Jr. Business Analyst","The Portage Mutual Insurance Company","Winnipeg, MB",4,"MB",40000,"Data Analyst"
"703","Business Analyst","Myers-Holum","remote",NA,"remote",NA,"Data Analyst"
"704","Senior Data Analyst","Calibery Software LLC","Toronto, ON",NA,"ON",80049.5,"Data Analyst"
"705","Data Analyst (BI&A)","Bristol Myers Squibb","Montréal, QC",4.1,"QC",NA,"Data Analyst"
"706","newData Support Analyst [Remote PST]","MindBridge Ai","remote",NA,"remote",NA,"Data Analyst"
"707","PAID INTERNSHIP - Sales and Category Analyst","Monster Energy","Toronto, ON",4.1,"ON",NA,"Data Analyst"
"708","Technical Business Analyst","Altus Group","Aurora, ON",2.7,"ON",NA,"Data Analyst"
"709","newBusiness Analyst","First Pay","remote",NA,"remote",45000,"Data Analyst"
"710","Business Analyst, Supplier Inclusion and Diversity - IDEA","Lululemon","Vancouver, BC",4.2,"BC",NA,"Data Analyst"
"711","Business Systems Analyst","City of Coquitlam","remote",4.2,"remote",104525,"Data Analyst"
"712","Research Analyst 2 - Sunnybrook Research Institute - Tempora...","Sunnybrook Health Sciences Centre","Toronto, ON",4.1,"ON",NA,"Data Analyst"
"713","newBusiness Intelligence Data Engineer","Maximus","remote",3.2,"remote",NA,"Data Analyst"
"714","newStrategic Performance Analyst","Metrolinx","Canada",3.9,"DA",75940,"Data Analyst"
"715","Inventory Control Analyst","T&T Supermarket","Richmond, BC",3.3,"BC",NA,"Data Analyst"
"716","Data Analyst - Jr. Developer","PBS Systems","Calgary, AB",2.4,"AB",NA,"Data Analyst"
"717","Statistical Programmer Analyst","SCiAN Services","Toronto, ON",NA,"ON",NA,"Data Analyst"
"718","newPassport Business Analyst","Canopy Support Services","Peterborough, ON",3.6,"ON",NA,"Data Analyst"
"719","Senior Analyst, Data Management - IT","Johnson & Johnson","Markham, ON",4.2,"ON",NA,"Data Analyst"
"720","Business Analyst Co-op [Ecosystem]","CaseWare IDEA","Ontario",NA,"IO",NA,"Data Analyst"
"721","People Operations Analyst","Dapper Labs","remote",NA,"remote",NA,"Data Analyst"
"722","newQuality Control Analyst","STEMCELL Technologies","Vancouver, BC",3.8,"BC",NA,"Data Analyst"
"723","Senior Business Analyst","Royal Bank of Canada","Toronto, ON+1 location",4,"ON",NA,"Data Analyst"
"724","IT Data Analyst - Capital Markets","AstraNorth","Toronto, ON",NA,"ON",130000,"Data Analyst"
"725","Quality Data Analyst","Vancouver Shipyards","North Vancouver, BC",3.4,"BC",NA,"Data Analyst"
"726","newDigital Business Analyst - Contact Centre","The Home Depot Canada","remote",3.7,"remote",NA,"Data Analyst"
"727","Junior Systems Analyst (RQ03663)","AMANST Inc","Toronto, ON",NA,"ON",NA,"Data Analyst"
"728","newBusiness Analyst/Consultant","Quad Infotech","North York, ON",NA,"ON",NA,"Data Analyst"
"729","newInformation Systems Analyst","University of Waterloo","Waterloo, ON",4.4,"ON",NA,"Data Analyst"
"730","newDecision Support Data Extraction Analyst","Home and Community Care Support Services Central...","Whitby, ON",3.8,"ON",NA,"Data Analyst"
"731","newBusiness Analyst","Total Credit Recovery","North York, ON",3,"ON",50000,"Data Analyst"
"732","Business Analyst - Incident Data (remote)","Software International","remote",NA,"remote",212750,"Data Analyst"
"733","AltaGas - Financial Data Analyst","AltaGas","Calgary, AB",3.5,"AB",NA,"Data Analyst"
"734","Quality Analyst - Data migration and ETL testing","Dawn InfoTek Inc.","Toronto, ON",NA,"ON",138750,"Data Analyst"
"735","Outbound Transportation Analyst","National Tire Distributors","Burlington, ON",2.9,"ON",NA,"Data Analyst"
"736","Business Analyst (Toronto)","StackAdapt","Canada",4.5,"DA",NA,"Data Analyst"
"737","Geophysical Data Analyst","Nanometrics Inc","Ottawa, ON",3.5,"ON",NA,"Data Analyst"
"738","newBusiness Intelligence Analyst, Student","Bell Canada","Montréal, QC",3.7,"QC",NA,"Data Analyst"
"739","Procurement Operations Analyst - Brampton, ON","AMZN CAN Fulfillment Svcs, ULC","Brampton, ON+1 location",3.5,"ON",NA,"Data Analyst"
"740","Intern- Business Intelligence Analyst","FLEETCOR","remote",3.1,"remote",NA,"Data Analyst"
"741","Data and Research Analyst","Alberta Health Services","Edmonton, AB",3.8,"AB",NA,"Data Analyst"
"742","newBusiness Analyst","TD Bank","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"743","Business Applications Support Analyst","Westcan Bulk Transport Ltd .","remote",3,"remote",NA,"Data Analyst"
"744","newBusiness Analyst (CDR-CP33-010)","Bethany Care Society","Calgary, AB",3.4,"AB",NA,"Data Analyst"
"745","Senior Data Analyst","ATCS Inc.","Toronto, ON",NA,"ON",NA,"Data Analyst"
"746","Marketing Analyst","ARZ Fine Foods","North York, ON",3.8,"ON",NA,"Data Analyst"
"747","newSr. Business Analyst, ProServe Operations","Amazon Web Services Canada, In","remote",NA,"remote",NA,"Data Analyst"
"748","AI Engineering Business Analyst, Intact Lab","Intact","Toronto, ON+1 location",3.8,"ON",NA,"Data Analyst"
"749","Data Analyst (Operations and Supply Chain)","Husky Injection Molding","Bolton, ON",3.7,"ON",NA,"Data Analyst"
"750","Sr. Data Analyst","Cognizant","Toronto, ON",3.9,"ON",NA,"Data Analyst"
"751","Senior Data Analyst","Hitachi Solutions Ltd","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"752","Business Analyst","Luxoft","remote",NA,"remote",NA,"Data Analyst"
"753","Project Control Analyst - Remote","EMMES","remote",NA,"remote",NA,"Data Analyst"
"754","Data Quality Analyst - SAP","Software International","Mississauga, ON",NA,"ON",NA,"Data Analyst"
"755","Junior Power Analyst","Dynasty Power Inc.","Calgary, AB",NA,"AB",NA,"Data Analyst"
"756","Data Analyst","Cogeco Communications Inc.","Montréal, QC",3.7,"QC",NA,"Data Analyst"
"757","newSenior Analyst, Balance Sheet Management","BMO Financial Group","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"758","Data Analyst, Valuation & Advisory Services (Western Region)","Avison Young Canada","Edmonton, AB",NA,"AB",NA,"Data Analyst"
"759","newAnalytics Business Analyst","Coast Capital Savings","Surrey, BC",3.7,"BC",NA,"Data Analyst"
"760","Business Analyst - Technical","BMO Financial Group","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"761","newBusiness Analyst I – Quality Management","Metro Vancouver","Burnaby, BC",3.7,"BC",7082.5,"Data Analyst"
"762","Supply Chain Analyst","Cascades","Candiac, QC",3.1,"QC",NA,"Data Analyst"
"763","Business Data Analyst - Government & Public Sector, Omnia AI","Deloitte","Canada",4,"DA",NA,"Data Analyst"
"764","Remarketing Pricing Analyst","Nissan","Mississauga, ON",3.8,"ON",NA,"Data Analyst"
"765","newSenior Analyst, Data Science","International Air Transport Association (IATA)","Montréal, QC",3.8,"QC",NA,"Data Analyst"
"766","Securitization and Funding Analyst","Central 1 Credit Union","remote",2.8,"remote",NA,"Data Analyst"
"767","Supply Chain Data Analyst","OCS","Toronto, ON",4,"ON",NA,"Data Analyst"
"768","newMaximo Business Analyst","North West Redwater Partnership","Sturgeon County, AB",3.8,"AB",NA,"Data Analyst"
"769","Analyst, CRM Support & Operations (18-month contract)","Deloitte","Canada",4,"DA",NA,"Data Analyst"
"770","Business Analyst","Isobar","Toronto, ON",NA,"ON",NA,"Data Analyst"
"771","Data Analyst - Member Value / LTV","MindGeek Careers","Montréal, QC",3.3,"QC",NA,"Data Analyst"
"772","Data analyst, Business banking","Laurentian Bank","Montréal, QC",3.6,"QC",NA,"Data Analyst"
"773","Data Analyst","JLL","Toronto, ON",3.7,"ON",NA,"Data Analyst"
"774","EDI Business Analyst","Epsilon Solutions","remote",NA,"remote",42550,"Data Analyst"
"775","newRPA Business Analyst","Charger Logistics Inc","Brampton, ON",NA,"ON",NA,"Data Analyst"
"776","Data Ops Analyst","Okta","remote",NA,"remote",NA,"Data Analyst"
"777","Junior Business Analyst","Pivotree","remote",1.5,"remote",NA,"Data Analyst"
"778","Data Analyst - Threat Lab","Integral Ad Science","Toronto, ON",NA,"ON",NA,"Data Analyst"
"779","Master Data Analyst, Supply Chain-Contract 1 Year","Diversey, Inc.","remote",3.7,"remote",NA,"Data Analyst"
"780","newSenior Data Analyst","National Bank of Canada","Montréal, QC",3.9,"QC",NA,"Data Analyst"
"781","newData Analyst, Warehouse Operations","Recycling Rewards","North York, ON",3.8,"ON",35150,"Data Analyst"
"782","newCredit Analyst","Brock White","Langley, BC",4.2,"BC",60000,"Data Analyst"
"783","newPolicy Analyst","Grant MacEwan University","Edmonton, AB",4.2,"AB",NA,"Data Analyst"
"784","newProgrammer/Data Analyst – Intermediate","Cosmo Music Company Ltd","Richmond Hill, ON",NA,"ON",70000,"Data Analyst"
"785","Digital Analyst","Indigo Books & Music","Toronto, ON",4,"ON",NA,"Data Analyst"
"786","Research Analyst","Yukon University","Whitehorse, YT",NA,"YT",107300,"Data Analyst"
"787","Physical Security Analyst (New Grad) Summer 2022 start","BMO Financial Group","Montréal, QC",3.8,"QC",NA,"Data Analyst"
"788","Business + Data Analyst","Kitchen Hub","Toronto, ON",NA,"ON",NA,"Data Analyst"
"789","Catastrophe Modelling Analyst","Intact","Toronto, ON+1 location",3.8,"ON",NA,"Data Analyst"
"790","Quantitative Analyst Intern (Mitacs Internship)","1QBit","remote",NA,"remote",NA,"Data Analyst"
"791","Business Systems Analyst","BDO","Toronto, ON",3.6,"ON",NA,"Data Analyst"
"792","newMedia Insights Analyst (R0998529)","Merkle","Montréal, QC+1 location",NA,"ON",NA,"Data Analyst"
"793","Data Engineer (Business Analyst)","Alimentiv","remote",NA,"remote",NA,"Data Analyst"
"794","Pricing Analyst","Toppan Merrill","Toronto, ON",NA,"ON",NA,"Data Analyst"
"795","newPricing Analyst","Radiant Canada","remote",3.1,"remote",NA,"Data Analyst"
"796","Business Systems Analyst (Healthcare Applications)","Jonah Group","Toronto, ON",4.4,"ON",NA,"Data Analyst"
"797","GBP Analyst, Strategic Pricing - Fall 2022 Internship","Scotiabank","Toronto, ON",3.9,"ON",NA,"Data Analyst"
"798","Business Analyst","Vancouver Coastal Health","Vancouver, BC+1 location",3.7,"ON",62900,"Data Analyst"
"799","Business System Analyst – SQL, Data","AstraNorth","Toronto, ON",NA,"ON",NA,"Data Analyst"
"800","Business Analyst","ISG Search Inc","Toronto, ON+1 location",4.8,"ON",NA,"Data Analyst"
"801","business systems analyst","System Micro Technology and Consulting Corp","Oakville, ON",NA,"ON",93425,"Data Analyst"
"802","Operations Business Analyst","CAARY","Toronto, ON",NA,"ON",NA,"Data Analyst"
"803","newAccounting Analyst","Hypertec Systems","remote",NA,"remote",NA,"Data Analyst"
"804","newBusiness Analyst II (Online Services)","CI Financial","Toronto, ON",3.1,"ON",NA,"Data Analyst"
"805","data warehouse analyst","VISAY TECHNOLOGIES INC","Edmonton, AB",NA,"AB",43475,"Data Analyst"
"806","newBusiness Intelligence Analyst","Plooto","Toronto, ON",NA,"ON",NA,"Data Analyst"
"807","newSr IAM Compliance Analyst - Opportunity for Working Remotely...","VMware","remote",4.1,"remote",NA,"Data Analyst"
"808","Client Intelligence Associate - Data Visualization (Tableau)","Royal Bank of Canada","Toronto, ON",4,"ON",NA,"Data Analyst"
"809","Business Analyst","CAPREIT","Toronto, ON",3.2,"ON",NA,"Data Analyst"
"810","newSustainability Reporting Analyst","Canfor","Vancouver, BC",3.4,"BC",NA,"Data Analyst"
"811","Analyst Revenue Management - Inventory","Porter Airlines Inc.","Toronto, ON",3.5,"ON",NA,"Data Analyst"
"812","newProduct Analyst","Lever","Toronto, ON",NA,"ON",NA,"Data Analyst"
"813","Business Analyst","Sportlogiq","remote",2.5,"remote",85000,"Data Analyst"
"814","Business Analyst","Segway Powersports Canada","Baltimore, ON",NA,"ON",75000,"Data Analyst"
"815","newSenior Analyst, Data Analytics","EPCOR","Edmonton, AB",3.4,"AB",65675,"Data Analyst"
"816","HRIS Analyst (Remote)","Agero","remote",3.1,"remote",NA,"Data Analyst"
"817","Senior Data Analyst","Scotiabank","Toronto, ON+1 location",3.9,"ON",NA,"Data Analyst"
"818","Business System Analyst 1","Symcor","Mississauga, ON",3.9,"ON",NA,"Data Analyst"
"819","newAdvanced Analyst - SKATE","Electronic Arts","remote",3.8,"remote",NA,"Data Analyst"
"820","Senior Analyst, Data Architecture","Laurentian Bank","Toronto, ON",3.6,"ON",NA,"Data Analyst"
"821","newIT Project Manager & Business Analyst","Town of Ajax","Lake, ON",4.5,"ON",80360.5,"Data Analyst"
"822","newMarket Research Analyst","Spark Power Corp","Oakville, ON",2.8,"ON",NA,"Data Analyst"
"823","Senior Equity Analyst, Alternative Data","Nasdaq, Inc.","remote",NA,"remote",NA,"Data Analyst"
"824","Sr Bus Application Analyst","TD Bank","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"825","Business Analyst with Sentry experience","Luxoft","remote",NA,"remote",NA,"Data Analyst"
"826","data warehouse analyst","1st Call Industrial Ltd.","Mississauga, ON",NA,"ON",106375,"Data Analyst"
"827","Senior Data Quality and Management Analyst, Data Warehousing...","Questrade Financial Group","remote",3.5,"remote",NA,"Data Analyst"
"828","Data Analyst - Salesforce","VGH & UBC Hospital Foundation","remote",3.7,"remote",77232,"Data Analyst"
"829","New Flyer - Data Analyst","NFI","Winnipeg, MB",NA,"MB",NA,"Data Analyst"
"830","Business Information Systems Analyst","TELUS","Toronto, ON",3.9,"ON",NA,"Data Analyst"
"831","Analyste de données / Data Analyst","Square Enix Montreal","Montréal, QC",3.9,"QC",NA,"Data Analyst"
"832","newBusiness Analyst","Teleperformance Canada","Toronto, ON",3.5,"ON",51000,"Data Analyst"
"833","newIT Data Analyst Jr","Air Inuit","Montréal, QC+1 location",3.2,"ON",NA,"Data Analyst"
"834","Inventory Control Analyst","Progistix Solutions Inc","North York, ON",3.6,"ON",55000,"Data Analyst"
"835","newBusiness Systems Analyst Intermediate (Digital Commerce) | T...","TELUS","Toronto, ON",3.9,"ON",NA,"Data Analyst"
"836","Analyste de données | Data Analyst (Python)","METRIO","Montréal, QC",NA,"QC",NA,"Data Analyst"
"837","newSenior Data Analyst","Sheertex","Montréal, QC",3.5,"QC",NA,"Data Analyst"
"838","newReporting Data Analyst - Power BI - InsightLens","Envision Sales Inc.","Toronto, ON",NA,"ON",NA,"Data Analyst"
"839","newSenior Group Risk Analyst","TD Bank","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"840","Data Visualization & Reporting Specialist","BC Maritime Employers Association","Vancouver, BC",NA,"BC",NA,"Data Analyst"
"841","Market Data Analyst","S4 Market Data","remote",NA,"remote",NA,"Data Analyst"
"842","new[WB] Analyst, Supply Chain","fgf brands","Greater Toronto Area, ON",3.8,"ON",NA,"Data Analyst"
"843","newCMDB Asset Data Analyst","Emera Inc.","Halifax, NS",3.8,"NS",NA,"Data Analyst"
"844","Business Analyst","Cineplex","Toronto, ON",NA,"ON",NA,"Data Analyst"
"845","newMobility Data Analyst","City of Edmonton","Edmonton, AB",3.7,"AB",70300,"Data Analyst"
"846","Senior Associate, Data Analyst","Capital One","remote",3.9,"remote",NA,"Data Analyst"
"847","Student ETRM Operations Analyst","Inter Pipeline","Calgary, AB",3.8,"AB",NA,"Data Analyst"
"848","newSecurity Analyst, Data Protection and Compliance","Loblaw Companies Limited","Brampton, ON",3.5,"ON",NA,"Data Analyst"
"849","data analyst - informatics and systems","Methodhub Canada","remote",NA,"remote",1e+05,"Data Analyst"
"850","Business Operations Analyst I, AWS Commerce Platform Busines...","Amazon Dev Centre Canada ULC","Vancouver, BC",3.5,"BC",NA,"Data Analyst"
"851","newIT Business Analyst","Flair Airlines Ltd.","remote",3,"remote",NA,"Data Analyst"
"852","Analyst, Business","EPCOR","Edmonton, AB",3.4,"AB",120250,"Data Analyst"
"853","Analyst, Private Equity Business Management","CPP Investments","Toronto, ON",NA,"ON",NA,"Data Analyst"
"854","Data and Automation Analyst","AbCellera Biologics","Vancouver, BC",NA,"BC",NA,"Data Analyst"
"855","FP & A Analyst","Invafresh","Mississauga, ON",NA,"ON",NA,"Data Analyst"
"856","Database Analyst","Islamic Centre of Markham","Markham, ON",NA,"ON",46250,"Data Analyst"
"857","Senior Data Analyst","Electrical & Automation Industry Careers","Toronto, ON",NA,"ON",NA,"Data Analyst"
"858","database analyst","Supreme Wire Products Ltd.","Brampton, ON",NA,"ON",74000,"Data Analyst"
"859","newBusiness Analyst, Loyalty Analytics","Royal Bank of Canada","Toronto, ON",4,"ON",NA,"Data Analyst"
"860","Senior Business Analyst (Online Brokerage)","CIBC","remote",3.8,"remote",NA,"Data Analyst"
"861","Analyst, Pricing","Hudson's Bay","Toronto, ON",3.5,"ON",NA,"Data Analyst"
"862","newBUSINESS INTEGRATIONS ANALYST","Midland Transport","Dieppe, NB",3.8,"NB",NA,"Data Analyst"
"863","Business System Analyst","Aversan","Vaughan, ON",3.2,"ON",NA,"Data Analyst"
"864","Senior Data Analyst","Teranet","Toronto, ON",3.9,"ON",NA,"Data Analyst"
"865","Junior Asset Management Consultant and Data Analyst","GM BluePlan Engineering","Vaughan, ON",3.3,"ON",NA,"Data Analyst"
"866","newSenior Analyst, Global Trade Advisory","Deloitte","Canada",4,"DA",NA,"Data Analyst"
"867","newBusiness Rules Analyst","Scotiabank","Ottawa, ON",3.9,"ON",NA,"Data Analyst"
"868","newBusiness Analyst 2","Symcor","Mississauga, ON",3.9,"ON",NA,"Data Analyst"
"869","newData Governance Analyst","Appnovation Technologies","Vancouver, BC",4,"BC",NA,"Data Analyst"
"870","newSupply Chain Analyst","JBS Food Canada ULC.","Belleville, ON",3.1,"ON",NA,"Data Analyst"
"871","Sr. Data Science Analyst","University Health Network","Toronto, ON",4.1,"ON",80096.5,"Data Analyst"
"872","Test Analyst (1 Year Contract)","BrokerLink","Toronto, ON",3.3,"ON",NA,"Data Analyst"
"873","newSenior Data Analyst","Veem","Ottawa, ON",3.3,"ON",NA,"Data Analyst"
"874","newBusiness Customer Development Analyst","DHL | Supply Chain","Mississauga, ON",3.7,"ON",NA,"Data Analyst"
"875","newSenior Data Integration and Extract Transformation and Load...","Government of Saskatchewan","Regina, SK",3.8,"SK",86950,"Data Analyst"
"876","Senior Analyst, Credit Risk Management","Manulife","Toronto, ON",4,"ON",NA,"Data Analyst"
"877","Residential Market Studies Analyst, Economic Consulting","Altus Group","Calgary, AB",2.7,"AB",NA,"Data Analyst"
"878","Data and Automation Analyst","AbCellera","Vancouver, BC",NA,"BC",NA,"Data Analyst"
"879","Senior Data Analyst","Taking Root","remote",NA,"remote",NA,"Data Analyst"
"880","Business Analyst","GS1 Canada","Toronto, ON",2.8,"ON",NA,"Data Analyst"
"881","Financial/Data Analyst (Temporary)","Rokstad Power","Coquitlam, BC",3.4,"BC",NA,"Data Analyst"
"882","ESG Quantitative Analyst, AVP - Open to Hybrid and/or Remote...","State Street","remote",3.5,"remote",NA,"Data Analyst"
"883","newData Business Analyst","Sanofi US","Toronto, ON",4.1,"ON",NA,"Data Analyst"
"884","Business Analyst – Data Modelling","AstraNorth","remote",NA,"remote",60000,"Data Analyst"
"885","Trade Floor Support Analyst (Excel)","BMO Financial Group","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"886","Senior Data Analyst","nugget.ai","Toronto, ON+1 location",NA,"ON",NA,"Data Analyst"
"887","newStudy Analyst, Real World Solutions","IQVIA","Kirkland, QC",3.8,"QC",NA,"Data Analyst"
"888","Portfolio Valuations/ OTC Derivatives Market Data Analyst","S&P Global","remote",3.9,"remote",NA,"Data Analyst"
"889","Revenue Management Analyst","Andrew Peller Limited","Oakville, ON",2.8,"ON",NA,"Data Analyst"
"890","analyst, methods and cost","The Orb Factory Limited","Halifax, NS",NA,"NS",59200,"Data Analyst"
"891","IT Data & Reporting Analyst","Saputo Inc.","Montréal, QC",3.3,"QC",NA,"Data Analyst"
"892","newPayroll Administrator and Analyst","Carizon","Kitchener, ON",NA,"ON",109150,"Data Analyst"
"893","newAnalyst/Administrative Assistant","Vancouver Coastal Health","Vancouver, BC+1 location",3.7,"ON",81400,"Data Analyst"
"894","Analyst, Auto Benchmarking","J.D. Power","remote",NA,"remote",NA,"Data Analyst"
"895","newData Privacy Business Analyst","EVOLVIC","Montréal, QC",NA,"QC",70214.5,"Data Analyst"
"896","Data Management/Data Analyst","Sanofi US","remote",4.1,"remote",NA,"Data Analyst"
"897","Digital Business Analyst","Shell","Fort Saskatchewan, AB",3.9,"AB",NA,"Data Analyst"
"898","Fall 2022 Co-op: DevOps Analyst","Rogers Communications","Brampton, ON",3.7,"ON",NA,"Data Analyst"
"899","Data Analyst","Dorigo Systems","Burnaby, BC",2.7,"BC",NA,"Data Analyst"
"900","Business Operations Analyst","GraceMed","Oakville, ON",NA,"ON",NA,"Data Analyst"
"901","Senior Data Quality Analyst","Home Trust Company","Toronto, ON",3.6,"ON",NA,"Data Analyst"
"902","Jira Business Systems Analyst","Geotab","remote",2.7,"remote",NA,"Data Analyst"
"903","Business Intelligence Analyst","Wolseley","Burlington, ON",3,"ON",NA,"Data Analyst"
"904","Data Analyst (3-6 Month Contract)","Mircom Group of Companies","Vaughan, ON",3.1,"ON",NA,"Data Analyst"
"905","Client Service Analyst, YouGov Canada","YouGov","Toronto, ON",NA,"ON",NA,"Data Analyst"
"906","Business Data Analyst","Kent Building Supplies","Saint John, NB",3.4,"NB",NA,"Data Analyst"
"907","Senior Analyst, IAM Access Request Reporting & Analysis (GCS...","Royal Bank of Canada","Toronto, ON",4,"ON",NA,"Data Analyst"
"908","Student, Cloud Analyst (Fall 2022, 4-Months)","OMERS","Toronto, ON",3.4,"ON",NA,"Data Analyst"
"909","Business Analyst","Accenture","Toronto, ON+2 locations",4,"NS",NA,"Data Analyst"
"910","Business Intelligence Data Analyst","HealthHub Solutions","Mississauga, ON",NA,"ON",NA,"Data Analyst"
"911","Process Improvement Analyst (Remote)","Shutterstock","remote",3.2,"remote",NA,"Data Analyst"
"912","Teaching Assistant - Data Analyst","Digital Nova Scotia","Halifax, NS",NA,"NS",83250,"Data Analyst"
"913","Database Security Analyst","BMO Financial Group","Toronto, ON",3.8,"ON",NA,"Data Analyst"
"914","Business Analyst","Waterloo Regional Police Service","Cambridge, ON",3,"ON",NA,"Data Analyst"
"915","Business Analyst III","Moneris Solutions","remote",3.4,"remote",NA,"Data Analyst"
"916","Risk & Regulatory Analyst","Brookfield Properties","Calgary, AB",3.7,"AB",NA,"Data Analyst"
"917","Health Human Resources Research Analyst","Government of Saskatchewan","Regina, SK",3.8,"SK",53650,"Data Analyst"
"918","Business Analyst - Non-IT - 5","Tundra Launchpad","remote",NA,"remote",NA,"Data Analyst"
"919","Data Analyst","Evercore","Montréal, QC",NA,"QC",NA,"Data Analyst"
