,title,company,location,pay,rating
175,Data Analyst,"NAVBLUE, an Airbus Company","Hybrid remote in Waterloo, ON",,3.9
176,newPricing Analyst,GVF Group of Companies,"Cambridge, ON",,2.5
177,Systems & Data Analyst,Canadian Red Cross,Remote in Canada,,4.0
178,Data Analyst II (Canada Remote),Fullscript,"Remote in Ottawa, ON",,3.2
179,Data Analyst - theScore Bet,theScore Inc.,"Toronto, ON",,3.3
180,Data Analyst - theScore Bet,theScore Inc.,"Toronto, ON",,3.3
181,Junior Business Analyst,RPM TECHNOLOGIES CORP,"Toronto, ON",,3.5
182,newBusiness Analyst,The Salvation Army Canada and Bermuda,"Remote in Toronto, ON",,
183,Business Intelligence (BI) Developer & Data Visualization An...,J.D. Power,"Remote in London, ON",,
184,Junior Business Analyst,Dokainish & Company,"Toronto, ON",,
185,Data Analyst (Remote),Cognizant Microsoft Business Group,"Remote in Toronto, ON",,
186,Data Analyst - Geophysics,Sander Geophysics Limited,"Ottawa, ON",,3.8
187,newMarketing Analyst,Quantfury,"Toronto, ON","$115,000 a year",
188,Data Analyst: Neurodiversity Hiring Initiative,Specialisterne Canada,"Greater Toronto Area, ON",,
189,newdatabase analyst,AJC & Associates Inc.,"Remote in Scarborough, ON",$40 an hour,
190,Data Analyst,GFD,"Toronto, ON",,
191,Data Analyst,Checkfront,"Remote in Victoria, BC",,4.7
192,newBusiness Systems/Technical Analyst,Accenture,"Toronto, ON",,4.0
193,ETL Developer - Business Intelligence,Western Financial Group,"Remote in Okotoks, AB",,3.7
194,"newSenior Business Analyst, Consumer Lifecycle",Carfax,"Remote in London, ON",,
195,Business Intelligence (BI) Developer & Data Visualization An...,J.D. Power,"Remote in London, ON",,
196,Junior Business Analyst,Dokainish & Company,"Toronto, ON",,
197,Data Analyst (Remote),Cognizant Microsoft Business Group,"Remote in Toronto, ON",,
198,Data Analyst - Geophysics,Sander Geophysics Limited,"Ottawa, ON",,3.8
199,newMarketing Analyst,Quantfury,"Toronto, ON","$115,000 a year",
200,Data Analyst: Neurodiversity Hiring Initiative,Specialisterne Canada,"Greater Toronto Area, ON",,
201,newdatabase analyst,AJC & Associates Inc.,"Remote in Scarborough, ON",$40 an hour,
202,Data Analyst,GFD,"Toronto, ON",,
203,Data Analyst,Checkfront,"Remote in Victoria, BC",,4.7
204,newBusiness Systems/Technical Analyst,Accenture,"Toronto, ON",,4.0
205,ETL Developer - Business Intelligence,Western Financial Group,"Remote in Okotoks, AB",,3.7
206,"newSenior Business Analyst, Consumer Lifecycle",Carfax,"Remote in London, ON",,
207,Analysts Recruitment and Development Program - Social Statis...,Statistics Canada,Canada,"$62,168 - $85,778 a year",4.1
208,Jr. Data Analyst (supply chain and demand planning),Noya Cannabis Inc.,"Hamilton, ON",,
209,newSync Operator/Data Analyst,Util-Assist Inc.,"Remote in Newmarket, ON",,2.5
210,newDecision Support Analyst,Southlake Regional Health Centre,"Newmarket, ON",,3.9
211,Data Analyst,Lucova,"Toronto, ON",,
212,"Data Analyst, Service Innovation",Myplanet,"Remote in Toronto, ON",,4.5
213,Senior Systems Analyst,The Ottawa Hospital,"Ottawa, ON","$88,696 - $110,267 a year",4.1
214,newBusiness Systems Analyst,BDO,"Toronto, ON",,3.6
215,Data Analyst,Oracle,"Remote in Kitchener, ON",,3.8
216,Research Officer/Policy Analyst,Government of Saskatchewan,"Regina, SK",$28.12 - $35.24 an hour,3.8
217,Business Analyst,HRC Global Services,"Mississauga, ON","$80,000 - $100,000 a year",
218,"newIntermediate Data Analyst, ES-03",Canada Revenue Agency,"Temporarily Remote in Ottawa, ON","$73,386 - $88,891 a year",4.0
219,newSenior Business Analyst - Services Analytics,Angi,"Remote in Waterloo, ON+3 locations",,
220,"newAI Engineering Business Analyst, Intact Lab",Intact,"Toronto, ON",,3.8
221,SAP Data Analyst,HRC Global,"Mississauga, ON",$70 - $110 an hour,
222,newData Strategy and Operations Analyst,Sanofi US,"Toronto, ON",,4.1
223,QA Analyst,CaseWare IDEA,Canada,,
224,Data Analyst,Backstage,"Hybrid remote in Mississauga, ON",,
225,Geophysical Data Analyst,Nanometrics Inc,"Ottawa, ON",,3.5
226,"newAnalyst, Physical Inventory",Lowe's Canada,"Remote in Etobicoke, ON",,3.5
227,newOperations Analyst,Payroc,"Oakville, ON",,
228,Technical Business Analyst (remote),Software International,"Remote in Mississauga, ON",$60 - $70 an hour,
229,"Media Experts - Analyst, Audience & Analytics",IPG Mediabrands,"Toronto, ON",,3.7
230,Game Data Analyst,Eastside Games Studio,Remote,,
231,newData Analyst - Information and Systems,SRYAS INC.,"Toronto, ON","$85,000 - $95,000 a year",
232,newData Analyst/Programmer,SIRVA,"Edmonton, AB","$54,000 - $86,000 a year",
233,Data Analyst/ Data Engineer/ Datawarehouse Analyst,Shorewise Consulting LLC,"Remote in Mississauga, ON",$47 an hour,
234,DATA ANALYST - US,Luminex,"Toronto, ON",,3.5
235,newBusiness System Analyst 1,Symcor,"Mississauga, ON",,3.9
236,newBusiness System Analyst,Sun Life Financial,"Temporarily Remote in Waterloo, ON+2 locations",,3.9
237,newBusiness Analyst,Dash Hudson,"Remote in Halifax, NS",,
238,Data Analyst,Royal Bank of Canada,"Toronto, ON",,4.0
239,newData Analyst,JNP Logiciel International Inc.,"Remote in Montréal, QC","$32,240 a year",
240,newBusiness Analyst,H&E Equipment Services,"Headquarters, BC",,
241,Business Analyst,N-able,"Remote in Ottawa, ON",,
242,Data Analyst,Centre for Gender and Sexual Health Equity,"Head, ON","$54,705 - $59,479 a year",
243,"Production Operations Analyst, Planning (Cambridge)",Toyota Motor Manufacturing Canada,"Hamilton, ON",,3.0
244,newBusiness Analyst,Optimal Growth Technologies,Ontario,,
245,Performance Analyst,BMO Financial Group,"Toronto, ON",,3.8
246,newData Analyst,Deer Lodge Centre,"Winnipeg, MB",$21.41 an hour,4.0
247,newReplenishment Analyst,Metro Inc.,"Toronto, ON",,3.5
248,newDigital Health Analyst,Spectrum Health Care,"Toronto, ON",,3.5
249,Data Analyst - Sportsbook,Score Media Ventures Inc.,"Toronto, ON",,
250,information systems analyst - computer systems,Elastalink Corp,"Ottawa, ON",$45 an hour,
251,investment analyst,Constance Financial Inc.,"Saskatoon, SK",$42.07 an hour,
252,Analyst,Intelligent Fabric Technologies (North America),"Markham, ON",,
253,Business Intelligence Developer,Peavey Industries LP,"London, ON+1 location",,3.3
254,Energy Data Analyst,Town of Oakville,"Oakville, ON",$24.03 an hour,4.1
255,Performance Analyst,BMO Financial Group,"Toronto, ON",,3.8
256,newData Analyst,Deer Lodge Centre,"Winnipeg, MB",$21.41 an hour,4.0
257,newReplenishment Analyst,Metro Inc.,"Toronto, ON",,3.5
258,newDigital Health Analyst,Spectrum Health Care,"Toronto, ON",,3.5
259,Data Analyst - Sportsbook,Score Media Ventures Inc.,"Toronto, ON",,
260,information systems analyst - computer systems,Elastalink Corp,"Ottawa, ON",$45 an hour,
261,investment analyst,Constance Financial Inc.,"Saskatoon, SK",$42.07 an hour,
262,Analyst,Intelligent Fabric Technologies (North America),"Markham, ON",,
263,Business Intelligence Developer,Peavey Industries LP,"London, ON+1 location",,3.3
264,Energy Data Analyst,Town of Oakville,"Oakville, ON",$24.03 an hour,4.1
265,Business Intelligence Analyst / Analyste en informatique déc...,Labour Market Information Council,Remote,"$67,000 - $77,000 a year",
266,newSenior Data Analyst,Calibery Software LLC,"Toronto, ON","$51,411 - $108,688 a year",
267,Policy Analyst,City of Regina,"Regina, SK",$36.71 - $45.90 an hour,
268,Technical Sr. Analyst,Cox Automotive,"Milton, ON",,3.4
269,Data Analyst - FIFA Mobile,Electronic Arts,"Vancouver, BC",,3.8
270,Data Analyst Full-time,Manitoba Agricultural Services Corporation,Manitoba,"$67,671 - $84,523 a year",
271,Inventory Analyst,Anheuser-Busch,"London, ON",,3.7
272,"Business Analyst (Contract - 3 months) - Remote, Across Cana...",Xerris,"Remote in Calgary, AB",$70 - $100 an hour,
273,Information Management Analyst,Community Living Toronto,"Toronto, ON","$70,560 - $82,261 a year",
274,newSecuritization and Funding Analyst,Central 1 Credit Union,"Hybrid remote in Toronto, ON",,2.8
275,newAssociate Analyst 3 - Toronto,Moody's,"Toronto, ON",,3.6
276,newBI Business Analyst,Manulife,"Toronto, ON",,4.0
277,newSenior Data Analyst - Remote,League Inc.,"Remote in Toronto, ON+1 location",,
278,"newAnalyst, Business Intelligence",EDC,"Ottawa, ON","$64,100 - $96,100 a year",3.8
279,Reporting Data Analyst,Envision Sales Inc.,"Toronto, ON",,
280,Senior Data Analyst,ATCS Inc.,"Toronto, ON",,
281,"newSenior Analyst, Trade Support (End of Day)",CPP Investments,"Toronto, ON",,
282,Analyst- Strategy & Transformation,Royal Bank of Canada,"Toronto, ON",,4.0
283,"Business Data Analyst, Propel",Uncommon Purpose,Remote,,
284,"Technical Specialist, Business Intelligence",BMO Financial Group,"Toronto, ON",,3.8
285,Physical Security Analyst (New Grad),BMO Financial Group,"Toronto, ON",,3.8
286,newBusiness Intelligence Analyst (SK),ISM Canada,"Regina, SK","$2,657 a week",3.1
287,Data Analyst,Golf Town Operating Limited Partnership,Remote in Canada+1 location,,
288,Cyber fraud analyst,Ubisoft,"Montréal, QC",,3.8
289,Information Systems Analyst,University of Waterloo,"Waterloo, ON",,4.4
290,Anaplan Business Analyst,PwC,Remote in Canada,,3.7
291,Data Visualization Business Analyst,PHSA,"Burnaby, BC",$40.46 an hour,3.1
292,Data Analyst & Business Intelligence – Bombardier Defense,Bombardier,"Toronto, ON+1 location",,3.8
293,Research Analyst,Centre for Addiction and Mental Health,"Toronto, ON",$25.03 - $33.38 an hour,4.0
294,newJunior Business Analyst,Norsat International Inc.,"Richmond, BC",,
295,"Data Analyst (Tableau), X-Ray",Uncommon Purpose,Remote,,
296,Senior Data and Reporting Analyst - #CStech,Royal Bank of Canada,"Toronto, ON",,4.0
297,Data Analyst- Contract,Assent,"Remote in Ottawa, ON",,
298,Data Analyst,Capgemini,"Toronto, ON",,3.8
299,newDevelopment Coordinator/Analyst,Graywood Group,"Toronto, ON",,
300,Anaplan Business Analyst,PwC,Remote in Canada,,3.7
301,Data Visualization Business Analyst,PHSA,"Burnaby, BC",$40.46 an hour,3.1
302,Data Analyst & Business Intelligence – Bombardier Defense,Bombardier,"Toronto, ON+1 location",,3.8
303,Research Analyst,Centre for Addiction and Mental Health,"Toronto, ON",$25.03 - $33.38 an hour,4.0
304,newJunior Business Analyst,Norsat International Inc.,"Richmond, BC",,
305,"Data Analyst (Tableau), X-Ray",Uncommon Purpose,Remote,,
306,Senior Data and Reporting Analyst - #CStech,Royal Bank of Canada,"Toronto, ON",,4.0
307,Data Analyst- Contract,Assent,"Remote in Ottawa, ON",,
308,Data Analyst,Capgemini,"Toronto, ON",,3.8
309,newDevelopment Coordinator/Analyst,Graywood Group,"Toronto, ON",,
310,Data Analyst,Grantek Systems Integration,"Burlington, ON",,4.8
311,Data Analyst,Toronto School of Management,"Toronto, ON",,4.0
312,Intern- Business Intelligence Analyst,FLEETCOR,"Temporarily Remote in Toronto, ON",,3.1
313,HR Analyst,CARFAX Canada,"London, ON",,
314,"Data Analyst, Marketing Acquisition (Remote)",FreshBooks,"Remote in Toronto, ON",,4.0
315,newData Quality Analyst,SkyHive Technologies Inc.,"Vancouver, BC",,4.8
316,Data Insight and Reporting Analyst,HomeEquity Bank,"Toronto, ON",,2.3
317,newJr. Business Analyst,The Portage Mutual Insurance Company,"Winnipeg, MB","$40,000 a year",4.0
318,"Data Analyst, Operations and Investigations (NEW or RECENT G...",BMO Financial Group,"Toronto, ON",,3.8
319,Senior Data Analyst,fusionSpan,Remote,,
320,data analyst - informatics and systems,Sudbury District Nurse Practitioner Clinics,"Greater Sudbury, ON",$44 an hour,
321,newWRPS Business Analyst,Waterloo Regional Police Service,"Cambridge, ON",$39.02 an hour,2.8
322,Planning Data Analyst,Metro Vancouver,"Burnaby, BC","$5,498 - $6,493 a month",3.8
323,ADMN O 18R - Junior Data Analyst,BC Public Service,"Hybrid remote in Victoria, BC",,3.4
324,IT Business Analyst,Baylis Medical Technologies,"Hybrid remote in Mississauga, ON",,
325,newBusiness Analyst,Innovapost,"Ottawa, ON",,3.6
326,Data Analyst,Thrive Health,"Remote in Vancouver, BC",,2.0
327,Junior Database Analyst,HealthHub Solutions,"Mississauga, ON",,
328,Master Data Analyst,Trillium Health Care Products,"Brockville, ON","$60,000 a year",3.0
329,"newData Analyst, Commercial Technology",ArcelorMittal Dofasco,"Hybrid remote in Hamilton, ON",,4.0
330,"Data Analyst, SQL/Tableau Developer",University of Victoria,"Victoria, BC","$61,935 - $81,286 a year",4.2
331,newData Analyst,NAVBLUE,"Hybrid remote in Waterloo, ON",,3.9
332,newmarketing analyst,Granite Springs Golf Club,"Bayside, NS",$36 an hour,
333,Data Analyst,Neo Financial,"Calgary, AB",,4.3
334,Analyst - Procurement,Westjet Airlines,"Remote in Calgary, AB",,3.9
335,"newFUNCTIONAL ANALYST, IT BUSINESS SOLUTIONS",Boutique La Vie En Rose,"Montréal, QC",,3.2
336,Business Analyst,City of Windsor,"Windsor, ON",$34.21 - $40.23 an hour,3.8
337,newHRIS Analyst,Livingston International,Ontario,,3.1
338,Business System Analyst,Genpact,Ontario,,
339,newPhysical Security Analyst,BMO Financial Group,"Toronto, ON",,3.8
340,newIT Analyst II - Business Intelligence Developer,Alberta Health Services,"Hybrid remote in Calgary, AB",,3.8
341,newData Analyst,Tetra Tech,"Remote in Vancouver, BC",,3.8
342,Junior Business Analyst,Centrecorp Management Services Limited,"Markham, ON",,3.7
